,CTYNAME,age_grp,N0,V0_1,V0_2,V0_3,V0_4,S0_1,S0_2,S0_3,S0_4,R0,theta_1,theta_2,theta_3,theta_4
1,Anderson,0_4,3009,2943,2492,2932,2935,66,517,77,74,0,1,1,1,1
2,Anderson,20,45233,44245,37460,44073,44082,988,7773,1160,1151,0,0,0,0,0
3,Anderson,5_19,9494,7527,6373,7497,7503,1967,3121,1997,1991,0,0,0,0,0
4,Andrews,0_4,1473,1454,1233,1435,1437,19,240,38,36,0,1,1,1,1
5,Andrews,20,12344,12183,10331,12027,12030,161,2013,317,314,0,0,0,0,0
6,Andrews,5_19,4847,3958,3357,3908,3911,889,1490,939,936,0,0,0,0,0
7,Angelina,0_4,5759,5623,4759,5611,5618,136,1000,148,141,0,3,3,3,3
8,Angelina,20,63009,61524,52072,61393,61406,1485,10937,1616,1603,0,0,0,0,0
9,Angelina,5_19,18551,14608,12365,14577,14587,3943,6186,3974,3964,0,0,0,0,0
10,Aransas,0_4,1123,1104,936,1094,1095,19,187,29,28,0,1,1,1,1
11,Aransas,20,20392,20050,16991,19869,19872,342,3401,523,520,0,0,0,0,0
12,Aransas,5_19,3859,3096,2624,3069,3072,763,1235,790,787,0,0,0,0,0
13,Archer,0_4,468,458,388,456,457,10,80,12,11,0,0,0,0,0
14,Archer,20,6800,6659,5639,6626,6627,141,1161,174,173,0,0,0,0,0
15,Archer,5_19,1761,1427,1209,1420,1421,334,552,341,340,0,0,0,0,0
16,Armstrong,0_4,109,105,89,106,106,4,20,3,3,0,0,0,0,0
17,Armstrong,20,1386,1337,1130,1350,1351,49,256,36,35,0,0,0,0,0
18,Armstrong,5_19,337,270,228,273,273,67,109,64,64,0,0,0,0,0
19,Atascosa,0_4,3433,3398,2883,3345,3349,35,550,88,84,0,2,2,2,2
20,Atascosa,20,36572,36204,30718,35634,35641,368,5854,938,931,0,0,0,0,0
21,Atascosa,5_19,11779,9461,8027,9314,9321,2318,3752,2465,2458,0,0,0,0,0
22,Austin,0_4,1827,1777,1503,1780,1782,50,324,47,45,0,1,1,1,1
23,Austin,20,23518,22875,19347,22915,22919,643,4171,603,599,0,0,0,0,0
24,Austin,5_19,6332,5051,4273,5060,5063,1281,2059,1272,1269,0,0,0,0,0
25,Bailey,0_4,559,553,469,545,545,6,90,14,14,0,0,0,0,0
26,Bailey,20,4469,4421,3750,4354,4355,48,719,115,114,0,0,0,0,0
27,Bailey,5_19,1644,1289,1094,1270,1271,355,550,374,373,0,0,0,0,0
28,Bandera,0_4,897,865,731,874,875,32,166,23,22,0,1,0,1,1
