CTYNAME,0_4,5_19,20_,Cum_inf,Cum_inf_low,Cum_inf_high,Cum_inf_0,Cum_inf_0_low,Cum_inf_0_high,Cum_inf_1,Cum_inf_1_low,Cum_inf_1_high,Cum_inf_2,Cum_inf_2_low,Cum_inf_2_high,Cum_Hosp,Cum_Hosp_low,Cum_Hosp_high,Cum_Hosp_0,Cum_Hosp_1,Cum_Hosp_2
Anderson,3009,9494,45233,14.980156494004975,12.347593994934618,17.54450012185559,4.89795943710522,3.9139244407130396,5.934747359083868,8.758375111796152,7.38827440563715,10.266625583894312,1.272397627655132,1.0563567698623082,1.508253855700445,2.5635532243224284,2.1170970721328533,3.0492603595643852,1.2641741865668106,1.1088604292559885,0.1921239518970082
Andrews,1473,4847,12344,9.796587509320236,8.384018478134676,11.43307849757604,3.2130467958250515,2.749765080386011,3.8643904652661245,6.12914759245875,5.290348618543396,7.06300864106866,0.4270916338513651,0.36513511756521505,0.4960162928270619,1.7341998815857502,1.4612513796073259,2.019381123776131,0.8491927838124764,0.8220447112711123,0.06478478442977165
Angelina,5759,18551,63009,15.565679657403274,13.482441765827009,18.78577878106567,5.138003643061775,4.372655765396992,6.44117923891292,9.442395296971604,8.142459720147095,11.104125070570124,0.992834806340367,0.8422967252479922,1.196207946211119,2.6516829077251742,2.3116920465641817,3.2657316296228367,1.3201139064686123,1.1828960975390763,0.14772614808523932
Aransas,1123,3859,20392,12.329030326183691,10.506209255319206,14.565099086250457,3.7744542790953592,3.0460078972244853,4.726456657808669,7.495523790809334,6.433342669960451,8.631928399454802,1.1155655539381755,0.9576102690610224,1.3099102981458948,2.1077711950878495,1.8022675391736949,2.5746516315610597,0.9754210177578351,0.9692117207852725,0.1671604692656133
Archer,468,1761,6800,10.81155376395655,9.41171907736237,12.922310601405304,3.3268698518876905,2.7636778439739977,4.042933956707845,6.623714777904626,5.864121577227167,7.826999974827398,0.8285210159771812,0.7303629217497631,0.9927934585898623,1.8863012875079987,1.5977636447019452,2.273229888034949,0.877941874410718,0.8814698165994128,0.12560252329851362
Armstrong,109,337,1386,11.37140719784675,10.089483795884739,13.284348055190646,4.071142155531225,3.4544084669407877,4.966612279498796,6.338982630918094,5.6547022442588055,7.294918656297769,0.9591817592636792,0.8445365725216268,1.1341490237118097,2.0730599476970992,1.7936276898066197,2.5114512092479075,1.0833792594668274,0.8527934986749867,0.14616994856215387
Atascosa,3433,11779,36572,10.964707074733912,9.570189460101684,13.060327200197131,3.238718026044674,2.734280006389727,3.974944163315926,7.205902742963681,6.349654289699546,8.502265211017022,0.5278978660568142,0.4614723566090793,0.631766519223973,1.8655134366488415,1.6308128595794587,2.2593990157788086,0.8485434170073742,0.9418356949396083,0.08038299029929105
Austin,1827,6332,23518,13.389067996260637,11.010858894717275,15.696667306164908,4.380856061193926,3.51945460782347,5.374208164731045,7.989133112214089,6.712498813658446,9.32614609749072,1.016292376254893,0.8300799772171588,1.1841490342954037,2.323244386459041,1.8691878745176067,2.745572267666061,1.1466537326603192,1.024981175877187,0.1516868767060126
Bailey,559,1644,4469,14.051772029326273,12.034457333198823,16.28228084739566,4.360854047364354,3.5749818654235654,5.290113856861544,9.134538852360052,7.975458682308452,10.586054739820456,0.5531066809972479,0.4742834114435716,0.640094676527147,2.372602755781948,2.0106262403921242,2.861791337289426,1.1381065388286609,1.1462882314566718,0.08320580981519532
Bandera,897,3282,18458,13.52310028213724,11.686080379490688,15.985687803158791,4.038595470246436,3.3713417130358554,4.910691689909595,7.942667238913261,6.9710216843592026,9.233989977948177,1.5217318340200607,1.3152132020046186,1.7921623313740411,2.291879881294955,1.9789363433940221,2.813110412372024,1.0471883881389714,1.0264993239398428,0.22662240866547784
Bastrop,7173,24489,79116,15.17649699194237,12.650475147747997,17.884340421613878,4.855860589101509,3.991540905281049,6.009789789645069,9.30693658785192,7.8035858480603135,10.724389614912297,0.9767533584761021,0.8090784054704615,1.1542168896791358,2.6047466439898574,2.143304745737715,3.0958695637361773,1.274014644042326,1.1719541155675932,0.1462547472165419
Baylor,198,645,2620,11.525959613493963,9.863287965264101,13.670657140188373,3.7779272701484587,3.131051901623286,4.6431256627064705,6.898017036129982,5.994621122373224,8.10908306056363,0.8616696444072854,0.7315598951927883,1.0257132367246837,2.0303622608582694,1.6964016317250772,2.469227642367301,0.9924843124844451,0.9094754038307993,0.13028009766842805
Bee,1571,5544,23735,17.79768194065975,15.185614762999439,21.236679410607337,4.453532694783722,3.6079766426644575,5.4381121854950525,12.30236106406656,10.55358442646791,14.663072093177,1.0387157859331264,0.8868195312721765,1.2511421518185795,2.7800841022883196,2.33602729334327,3.276415251803836,1.1445691455375864,1.4879820562055692,0.15343007780543638
Bell,30378,88325,274490,14.139160482513374,11.92435846719548,16.332111307949145,5.1488756940724425,4.1731240292858125,6.121953212039496,8.254340199408663,7.026435118834792,9.475645300764652,0.799235146579135,0.676991128361786,0.9266048501544614,2.5205068877255092,2.1044326868996874,2.9446793061526852,1.3407682993997203,1.05760110929454,0.11987213360998253
Bexar,132764,438364,1516551,16.03980568943721,13.53634213206918,19.142758438621385,4.9169600419625645,4.059967580586842,6.0840361653083095,10.224664667343815,8.654765165887055,11.955729855384117,0.9533115659429736,0.7921224161955177,1.125757342321694,2.667619966956492,2.22413532442878,3.2469494823699283,1.2790131229343018,1.2579405007696753,0.14037017735613608
Blanco,495,1887,10666,17.295655201172597,14.906230476407464,20.693393615512687,4.6338229951775,3.9313071240570157,5.765965995363234,10.712732127260772,9.38864251980088,12.673745199116196,1.8727428955553562,1.6185456828585696,2.2419335350301486,2.8164432374429875,2.405811029499179,3.3659969788921975,1.2169759736226529,1.325097465882644,0.2779070599659258
Borden,24,108,440,13.633871139669104,12.119213081450809,15.145939036302137,3.3215372650042445,2.8823201291760094,3.7614741231115834,9.043690286294886,8.127726449036643,10.042446822728163,1.2391092382504998,1.0745083332104364,1.4143097199912427,2.252288362887666,1.973398586144767,2.607063960220468,0.8965078628334476,1.1735692514246427,0.1876085347247079
Bosque,924,3369,14703,12.821185064804483,11.246393122735567,15.008004498998384,3.9925350063382865,3.385004269251837,4.867013830848577,7.711130940896291,6.784710135875108,8.899752390975014,1.1546924261058862,1.0050445651357913,1.3574355200032944,2.2018666348795395,1.9033891185809952,2.6012616231095214,1.041880998788547,0.9906814888027955,0.17340211867125258
Bowie,5420,18454,67813,14.400306158072361,12.521375812631055,17.169015312889233,4.675705661292562,3.969255467981247,5.809316519213536,8.661686786544582,7.565444510303858,10.202699058924152,1.0562121545349865,0.9158314966848295,1.2556001492564917,2.4841790321126522,2.1020744604551367,2.968285889387291,1.2203861201137802,1.10686697128022,0.15806096374622847
Brazoria,24868,86319,287751,12.348087251426694,10.685464944781387,14.096702797970583,3.9615692301979215,3.2961528600680707,4.696169595422295,7.643117635992965,6.6756692922225485,8.610422203147621,0.7826632132508688,0.6719958512131292,0.8933274367746551,2.1391812699431605,1.8461594942405997,2.4754421409523446,1.0352258187610377,0.9873565532382594,0.11781331219387826
Brazos,13372,54902,176429,124.49031372690237,103.53689123688468,155.50623711673916,19.100714032421664,15.186874942174509,24.010852109593724,101.3162408412886,83.84098796562996,126.258544358485,4.652297118729784,3.8486879118106905,5.837347691172991,15.348489662719587,12.423071160457377,19.44934879413386,4.533136870936483,10.233935032459758,0.617308540500416
Brewster,431,1620,7462,72.55806458750004,60.50752026780597,88.36311687888781,14.04830874543321,11.50337206467449,17.11126683661896,53.407765629353264,44.79022711741939,65.2128021246989,5.023771792173663,4.141609727629363,6.209298902184464,9.829852776908934,8.096443258723689,12.229404891852873,3.4530632347843246,5.709370515976389,0.6866368811304134
Briscoe,78,266,1101,9.960420965376839,8.81682879493055,11.33122050552258,3.36212321508852,2.877672537822314,3.917102784649882,5.7135524923755,5.075086889672968,6.361404609869116,0.8989744477810716,0.7856334779937632,1.0310065460090043,1.8018162316856472,1.5800751882900759,2.120145988431187,0.8849479673297648,0.779661344468328,0.13663661184796744
Brooks,453,1465,4930,10.74323916721921,9.168085612789014,12.458148446920339,3.177512159421643,2.618028975186028,3.7149403539347423,7.131962591631519,6.109075238769032,8.157220179631178,0.5058280270968785,0.42994552906508376,0.588612903279159,1.8414583180480317,1.5481280642412427,2.145061427530068,0.8313400760951266,0.9285482064714334,0.07708204613702135
Brown,2126,6834,29749,22.230872417607408,19.2457883621936,25.978839012383837,6.635692155659328,5.533899629646764,7.991396326805798,13.88336150483065,12.13445348057763,16.010080238982894,1.7160953830591286,1.4805289102596226,2.0133319174642663,3.6002577292166498,3.0369846402523133,4.3080899705218885,1.6917860171961632,1.6564802746550522,0.25213480161532614
Burleson,1116,3611,14748,8.622455074879818,7.579828120231121,9.945139930088676,2.7453721465076324,2.3452118381587748,3.20611243199654,5.345619869297275,4.696201256708244,6.098580762734426,0.5390627070251166,0.4738843463529777,0.6252080819772818,1.5356379594317855,1.3366309484377572,1.7961387168295904,0.7273607150256394,0.7361051826742402,0.08236985804771446
Burnet,2722,9252,42017,15.192929621252336,12.959904251577255,17.903928246191487,4.807853969848069,3.9608143888259826,5.7482789115118775,9.041138573265973,7.7378486712233085,10.66914382856657,1.342908447596026,1.140548750476064,1.5984581401868783,2.5862544474460725,2.1957080929731596,3.0873068509914665,1.2417795375202603,1.142248926480312,0.20015523024899
Caldwell,3104,9875,36880,20.93841191391781,17.775544495001572,25.559540318881776,6.401067208769239,5.236266038798659,7.864076962575563,13.221379571627168,11.365447315328904,16.060575320113422,1.3400011809262073,1.1338251630139962,1.6482779201195359,3.4326111569243496,2.855409684568481,4.2252924352949375,1.6433597516041942,1.5959009696586146,0.19776774357004573
Calhoun,1187,3807,14702,12.248097070512348,10.416408776917862,14.310748172322123,3.5985941828237564,3.0219706505640618,4.332783770601629,7.9821289269780396,6.82988116575283,9.27249981979457,0.6723720667980261,0.5705955259823379,0.7856970070402404,2.0574970421445444,1.7534055333044953,2.41498049191257,0.9381326439541673,1.0220021355672788,0.09988625662928352
Callahan,738,2672,10964,12.482947187741939,10.711966176875078,14.680527901632024,3.9345338086343054,3.24879616884162,4.834945564872911,7.444717235180018,6.486436596183103,8.682991354794074,1.0644072874610369,0.9176441843242388,1.2453799752461878,2.166279209712229,1.840834697808712,2.5551041833833863,1.0308991296662624,0.967912320701237,0.16063992955798234
Cameron,29717,104428,292565,11.781095635592678,10.345763995449467,13.637474966593478,3.1980080579300614,2.7118172834265484,3.786019525886386,8.118785152688208,7.173965020117883,9.41137589610753,0.45671749164594144,0.39942280038495775,0.5288239755968355,1.950264231969621,1.6770893448936512,2.2634113495167645,0.8322010951445298,1.049380462329251,0.06849788585133551
Camp,964,2870,9166,11.602306628039925,9.972563807572312,13.362410013636916,3.8257028559528408,3.2361113494687768,4.57743122868366,7.138225441935845,6.137828483090219,8.240579977432587,0.5789758931520037,0.4914662884080691,0.6667964781490697,2.0239079343496424,1.690419797829374,2.353979404889388,1.0067242636178335,0.9267907461482134,0.08695524959818912
Carson,295,1212,4371,12.900109653666249,11.057235494369527,15.426082651085242,3.6113176863203797,3.0409062065637578,4.327087529560655,8.304782187056887,7.22304304467653,9.855186447727855,0.999881567521429,0.8536879883989793,1.1931858252061482,2.1525502146609634,1.8489413249466506,2.5720976439508663,0.9442258370463025,1.065406425938312,0.14884216725668414
Cass,1671,5477,21511,13.227064375403195,11.42973995344457,15.811447080419445,4.522910834167952,3.7499399727380864,5.631581021200943,7.706675997408327,6.648720620192805,8.978481926403132,1.0400165382892763,0.8968938295134161,1.2397949509492536,2.3263915783241442,1.97463345588575,2.8140025985579338,1.175168629605734,0.9907930566652949,0.15811076586249284
Castro,567,1766,4894,11.303687173861292,9.599292609976398,13.589620193567239,3.521870374771292,2.9292753049716858,4.393226522944615,7.295063424400279,6.266308140432372,8.632572451591916,0.4836476093036767,0.41214577769170196,0.5814683113920238,1.9610305696220696,1.6362814299450725,2.362383311524851,0.9313281429714346,0.9506173846798373,0.07271184482849019
Chambers,3579,12736,37561,12.590986087771865,10.662047560476028,14.882659782599172,4.164393027441115,3.2793212061596577,5.031667600174876,7.670053523356869,6.6435008513665785,9.017590940732847,0.7801992219883711,0.6653766032601934,0.9239678497946993,2.1984507298145974,1.7940826856428207,2.6111846951772564,1.0927505185603645,0.9886693361332913,0.11719631995242343
Cherokee,3500,10902,37815,10.27240784735592,8.916333787092558,12.034311542704529,3.335420816918065,2.7492093346013067,3.97472715962662,6.402887196300078,5.628316633086859,7.374405820428448,0.5413584269765626,0.46834549506919926,0.6309412810954199,1.810760980574361,1.5603687635055399,2.1425444103031084,0.8773454921314345,0.8505533422978706,0.08159859496182105
Childress,314,1145,5329,19.328339438983274,16.740343105182074,23.48850802276005,5.304881753964654,4.483684206471509,6.738194287381686,12.320197866363806,10.73745878939477,14.67853183355373,1.70430331344238,1.4685376639547627,2.068625153144651,3.128233271893549,2.658333232922887,3.8665740991313866,1.372260302083465,1.4966093413620558,0.25135613720137107
Clay,541,1875,8322,13.806687914509174,11.60942196232347,16.177818116611146,4.3287401170508595,3.510548103112421,5.206742151264345,8.264522796978596,7.106557425056247,9.726572701566967,1.2040516292804173,1.016308617419915,1.4232339229292397,2.359238030270121,1.9596084734623602,2.8096038205463216,1.1269549717792335,1.0603500424793435,0.17983459147700193
