CTYNAME,0_4,5_19,20_,Cum_inf,Cum_inf_low,Cum_inf_high,Cum_inf_0,Cum_inf_0_low,Cum_inf_0_high,Cum_inf_1,Cum_inf_1_low,Cum_inf_1_high,Cum_inf_2,Cum_inf_2_low,Cum_inf_2_high,Cum_Hosp,Cum_Hosp_low,Cum_Hosp_high,Cum_Hosp_0,Cum_Hosp_1,Cum_Hosp_2
Anderson,3009,9494,45233,282.2417708860854,222.72120554032708,383.7580377104647,127.19995086046563,97.67873508142328,172.2365453492039,99.58147473007617,79.52889378046255,134.03924872468835,55.9367636340223,43.36870210564904,77.16316646527312,47.216888858199695,36.5236216979276,64.34555175110464,29.879097173402837,9.959510529943843,7.351559913063854
Andrews,1473,4847,12344,180.07253174104193,135.896092421329,231.80633178762733,86.88930036382447,64.45405888846354,111.21624567926276,71.14371091131217,55.33164023515918,91.37889178633095,21.855315023546336,16.400030249455924,28.163827252519155,30.974598337279104,23.114031423819384,39.475596763570856,20.74758389013621,7.293852656635699,2.9254094478832138
Angelina,5759,18551,63009,297.64601765179066,223.41439119795936,392.4706144351992,143.11587455862525,104.94289917148596,190.5532369997102,110.4903228065111,84.63313336285695,143.5225107186145,44.16861103138529,33.27409996081336,58.90791306314646,50.34460082943909,36.8768105388604,66.14135174529821,33.48091799168095,10.970309114374974,5.758298791475641
Aransas,1123,3859,20392,222.2657810720592,177.72822812584437,281.3452461528396,88.6873568544336,69.76161251491143,114.12022055392973,82.6408275768049,66.27543442122784,104.46582520198298,51.54585164711841,40.53813894167951,67.00434242555336,36.84169658474826,29.114507353315584,48.4322808779868,21.446120785756072,8.577449571624223,6.884755099164623
Archer,468,1761,6800,162.17129017277043,134.51640019571371,197.23470021523727,60.45696926824176,50.820277169887056,74.96676145247557,68.36625723273016,55.97475732139079,82.59154251574604,33.09354881072464,26.887831888022333,40.68273192514675,26.7640019357176,22.0500234822954,32.74925582585597,15.189021707822649,7.145263708881564,4.456385382937916
Armstrong,109,337,1386,99.61218142176472,89.5978047458,108.59658523575231,31.30478145400512,28.593444438789465,33.50107760343362,42.89132029630791,38.56934204409805,47.10492144046598,25.269624389519457,22.03822430659899,28.555398418146503,16.84537544040065,14.928507682279994,18.79171385443461,8.336906310169697,4.842565958505663,3.6185693161010057
Atascosa,3433,11779,36572,212.3283252975469,156.3159496164427,283.6483158520733,97.39853657027224,70.96743268355844,134.94923335297912,85.10138776755836,64.10895128618274,110.27827033974076,29.494106251259996,21.49385677616509,39.16616627283816,35.29087618788202,25.947285927905902,46.96756950486029,23.014490829134573,8.525312890568905,3.855316810433184
Austin,1827,6332,23518,257.6177584905696,202.4427974660802,334.6780369498319,114.0501268543149,88.08457036017708,149.42651944053512,97.61117243615436,76.33492796457877,126.08388882272996,45.491157493218935,34.914198537616,60.39056930732771,43.04358273894725,33.42430818117768,55.83714026617725,27.18241503624376,9.823796705710604,5.912547419018665
Bailey,559,1644,4469,175.80566898146634,141.7031689625404,208.52190790440036,74.27419667259338,61.27341582378535,89.33745244345675,78.06040545390937,61.71487710151049,94.81286331355784,22.999772134160743,17.659111556214924,28.231031858109716,29.64328566178594,23.92292210215698,36.60344029062345,18.433981365742063,8.275538420362809,3.0679564903
Bandera,897,3282,18458,268.34311651172044,227.55391557941044,343.1252654275745,96.61593846951754,80.66215735127535,124.29727886770686,98.97993115318016,82.23677901991654,126.87181400169185,71.85482214764932,59.03399024437456,92.85670882296736,43.011664846203246,36.03215373071015,56.03930348405797,23.67888783228816,10.127859836210366,9.539064856378324
Bastrop,7173,24489,79116,314.01989153068735,236.1752890218512,398.5105081368478,147.17234910569096,108.44121557351984,196.91649215855972,117.93206226309354,92.34270978282284,148.72246397790897,46.017143046563945,35.35387546579668,58.82618885236677,51.93993377694426,37.618865205678205,67.6124346840648,34.152517969795575,11.604637095928812,5.91295438001261
Baylor,198,645,2620,119.41090837284295,100.4528646519774,136.8396699532511,40.735771409339165,35.353117735869446,45.65578706647738,51.8221311573554,43.889132875464725,60.33288539217488,26.27931509007889,21.582225051114,31.01335615700604,19.90093040586484,16.728099030155963,23.33679122729519,10.61107857883103,5.665852016715015,3.632508722673406
Bee,1571,5544,23735,264.7768388511274,206.75429603439864,333.0492967307701,102.37082449290514,78.03734801995316,131.12649261747032,113.36410184709403,90.87152858538498,140.8303927390827,48.05025136485558,37.46740933574689,60.84465046460976,42.641817509368295,32.038079509813684,53.98055297054091,24.781769425887283,11.413092986676263,6.339202531932308
Bell,30378,88325,274490,287.294445532438,219.15222292484432,382.3429840566274,152.68878385600155,112.23745597515044,209.5118912781122,100.0205402978066,76.18977361466801,127.83612933905106,37.14863785717535,27.85791707665496,48.51994353760757,49.2740482278568,37.03241576767678,68.56986719423999,34.85597498245961,9.917017497446656,4.738347025506041
Bexar,132764,438364,1516551,309.777903537742,231.72746868265264,410.7221140956892,148.77294825578667,107.167942321337,201.5217830024136,118.40147515843812,91.60059355887124,153.95644988007686,45.42597363108865,34.354929837977835,59.51971261201559,51.66969736695641,37.34907634773332,68.96974248272656,33.72722343373698,11.532020518840174,5.776274340158972
Blanco,495,1887,10666,424.85529780255615,354.4804046133001,498.2425345165848,115.90494564590028,100.0959609504762,131.03308934701013,169.68190762806336,138.63307130113853,203.4459828841366,139.04199139556226,111.52231323232064,168.72471325481706,65.50428154586619,54.14651666659834,78.09461542349874,29.44393746261767,17.412286194898584,18.622895794659375
Borden,24,108,440,53.02218583234601,48.7804177622338,56.5529391575851,9.493783265192612,8.799538305573407,10.16585554524154,27.22897270396824,25.288146733208222,28.806068664212084,16.32764523285188,14.488020895070113,17.77818055479654,8.313929829686746,7.495268461445247,9.131099600641004,2.579219455111529,3.3107483009037955,2.42391819793632
Bosque,924,3369,14703,236.7680701201349,188.1464310374549,290.2603820571582,92.6852744187822,74.11254525927524,112.721650219659,91.91291464870235,71.9533280570718,114.49014635449882,51.18920305918468,39.6187546558868,64.64742663743976,38.90273692190927,30.133773817434605,48.49097727338042,22.697875488134727,9.387009110580792,6.842768741399169
Bowie,5420,18454,67813,307.0345527291836,236.31127258408392,400.5234941077379,142.92247157146193,107.0457256618044,188.2982293273734,112.75737843162128,86.04118821679005,146.09105962663466,50.83332282926989,38.640117932844646,67.49881661148557,50.90151131053345,39.49018490660645,66.55527859018135,33.0092871820727,11.259862128439655,6.510069572129282
Brazoria,24868,86319,287751,264.4739884132257,197.9601064756382,362.24873318745966,126.79185636497913,91.30595777749704,179.22360824381406,97.42618176255333,75.88775052858632,131.86331208951188,39.41004393958546,29.89883200450943,54.146555361398846,44.10425629774126,32.36372627498715,61.418620108884696,29.22416631275476,9.805791488030923,5.07559303502441
Brazos,13372,54902,176429,1096.787375146394,798.3197370421983,1434.820229414107,337.4917575661059,245.8376451664407,449.0566161781396,620.7436403188789,460.2877674006127,804.9231835768553,135.60334564576107,99.26458083406034,178.78031901557537,147.96745142741696,108.71117759480607,189.87396061834576,74.72791457892117,56.98617491320991,16.857253960181517
Brewster,431,1620,7462,519.8792625015518,456.7774126363449,587.0297585031255,115.15857454916048,103.28864326383568,126.75171719539156,273.783013439026,241.38415266841548,309.90635586453743,130.06246895716453,110.04894776220934,151.96081593315753,75.40259978649905,65.88049259374678,86.21134937615305,29.51428177666857,28.616566889794687,17.41832205373484
